Log(density), RescueProb
1.56, 0.01
3.58, 0.00
5.53, 0.04
7.55, 0.14
9.13, 0.70
11.04, 0.93
12.94, 1.00
15.00, 1.00
16.93, 1.00
18.81, 1.00
